S05c_025,S05c_026,S05c_027,S05c_028,S05c_029,S05c_030,S05c_031,S05c_032,S05c_033,S05c_034,S05c_035,S05c_036,S05c_037,S05c_038,S05c_039,S05c_040,S05c_041,S05c_042,S05c_043,S05c_044,S05c_045,S05c_046,S05c_047,S05c_048,S05c_049,S05c_050,S05c_051,S05c_052,S05c_053,S05c_054,S05c_055,S05c_056,S05c_057,longitude,latitude
2008,5802,柳小路,0,0,0,0,0,0,0,0,0,1304,0,0,0,0,1304,0,0,0,0,0,0,0,0,0,1552,0,0,0,0,1552,139.48523,35.32752
2008,5803,鵠沼,0,0,0,0,0,0,0,0,52,1440,0,0,0,0,1492,0,0,0,0,0,0,0,0,52,1325,0,0,0,0,1377,139.48256,35.32116
2008,5804,湘南海岸公園,0,0,0,0,0,0,0,0,36,1313,0,0,0,0,1349,0,0,0,0,0,0,0,0,36,1162,0,0,0,0,1198,139.48352,35.31506
2008,5812,由比ヶ浜,0,0,0,0,0,0,0,0,0,623,0,0,0,0,623,0,0,0,0,0,0,0,0,0,581,0,0,0,0,581,139.54184,35.31295
2008,5807,鎌倉高校前,0,0,0,0,30,0,0,0,0,2178,0,0,0,0,2208,0,0,0,0,0,0,0,0,0,2193,0,0,0,0,2193,139.50076,35.30675
2008,5813,和田塚,0,0,0,0,0,0,0,0,0,384,0,0,0,0,384,0,0,0,0,0,0,0,0,0,574,0,0,0,0,574,139.54566,35.31381
2008,5810,極楽寺,0,0,0,0,0,0,0,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,0,0,578,0,0,0,0,578,139.52874,35.30937
2008,5801,石上,0,0,0,0,0,0,0,0,40,675,0,0,0,0,715,0,0,0,0,0,0,0,0,40,775,0,0,0,0,815,139.48565,35.33277
2008,5809,稲村ヶ崎,70,112,0,0,0,0,0,0,0,1439,0,0,0,0,1621,70,187,0,0,0,0,0,0,0,1267,0,0,0,0,1524,139.52254,35.30434
2008,5806,腰越,0,0,0,0,0,0,0,0,0,751,0,0,0,0,751,0,0,0,0,0,0,0,0,0,644,0,0,0,0,644,139.49359,35.30823
2008,5805,江ノ島,60,0,0,0,0,0,0,0,40,1932,0,0,0,0,2032,60,0,0,0,0,0,0,0,40,2157,0,0,0,0,2257,139.48787,35.31092
2008,8155,戸塚安行,157,417,84,0,0,35,0,0,2153,3366,0,0,0,0,6212,125,205,136,0,0,107,0,0,2039,3843,0,0,0,0,6455,139.75376,35.85818
2008,8152,南鳩ヶ谷,114,72,44,0,0,32,0,47,627,4076,0,0,35,36,5083,130,36,0,0,0,0,0,78,594,4162,0,0,35,0,5035,139.73588,35.81527
2008,8153,鳩ヶ谷,308,109,35,0,0,0,0,149,1283,6955,0,0,0,0,8839,320,109,35,0,0,117,0,149,1326,6869,0,0,0,0,8925,139.73653,35.83
2008,8156,浦和美園,123,621,121,0,50,74,0,45,283,5676,0,0,0,0,6993,203,571,83,0,83,98,0,45,298,6044,0,0,0,0,7425,139.72827,35.89304
2008,8151,川口元郷,461,92,0,0,49,0,0,49,1193,7576,0,0,0,0,9420,338,0,0,0,49,215,0,0,1167,7373,0,0,0,0,9142,139.72946,35.7995
2008,8154,新井宿,116,204,0,0,0,41,0,139,763,3396,0,0,0,0,4659,116,106,57,0,0,76,0,139,720,3148,0,0,0,0,4362,139.73712,35.84286
2008,9412,内宿,24,169,0,0,25,0,0,0,374,1462,0,0,0,0,2054,24,169,0,0,58,0,0,0,374,1296,0,0,0,0,1921,139.59968,36.01404
2008,9406,原市,0,73,0,0,0,0,0,0,593,1430,0,0,0,0,2096,0,73,0,0,0,0,0,0,510,1346,0,0,0,0,1929,139.62225,35.96417
2008,9402,加茂宮,0,0,0,0,0,0,0,0,330,2789,0,0,0,0,3119,0,0,0,0,0,0,0,0,300,2404,0,0,0,0,2704,139.61687,35.93545
2008,9407,沼南,0,0,0,0,0,0,0,0,1179,1164,0,0,0,0,2343,0,0,0,0,0,0,0,0,1179,1111,0,0,0,0,2290,139.62347,35.97072
2008,9404,今羽,0,0,0,0,0,0,0,0,268,2102,0,0,0,0,2370,0,0,0,0,0,0,0,0,236,2218,0,0,0,0,2454,139.61955,35.94965
2008,9405,吉野原,29,0,0,0,0,0,0,0,71,1394,0,0,0,0,1494,0,0,0,0,33,0,0,0,71,1354,0,0,0,0,1458,139.62083,35.95667
2008,9410,伊奈中央,0,0,0,0,0,0,0,0,219,1144,0,0,0,0,1363,0,0,0,0,0,0,0,0,219,1105,0,0,0,0,1324,139.61726,35.99919
2008,9401,鉄道博物館,0,36,0,0,0,0,0,0,255,3949,0,0,0,0,4240,0,0,0,0,0,0,0,0,255,3904,0,0,0,0,4159,139.61795,35.91995
2008,9403,東宮原,0,0,0,38,0,0,0,0,221,1522,0,0,0,0,1781,0,0,0,0,0,0,0,0,190,1422,0,0,0,0,1612,139.61815,35.94233
2008,9411,羽貫,0,0,0,0,33,0,0,0,320,2375,0,0,0,0,2728,0,76,0,0,0,0,0,0,320,2242,0,0,0,0,2638,139.60822,36.00741
2008,9409,志久,36,51,0,0,0,0,0,0,645,1096,0,0,0,0,1828,87,90,0,0,0,0,0,0,645,1117,0,0,0,0,1939,139.62208,35.99135
2008,9302,公園,0,0,0,0,0,0,0,0,0,259,0,0,0,0,259,0,0,0,0,0,0,0,0,0,259,0,0,0,0,259,140.15373,35.73109
2008,9304,中学校,0,0,0,0,0,0,0,0,220,1205,0,0,0,0,1425,0,0,0,0,0,0,0,0,220,954,0,0,0,0,1174,140.14854,35.74046
2008,9301,地区センター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,124,140.15511,35.72651
2008,9303,女子大,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,140.15541,35.73788
2008,6905,鹿島灘,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0,81,140.59705,36.07514
2008,6904,鹿島大野,0,363,0,0,0,0,0,0,0,206,0,0,0,0,569,0,242,0,0,0,0,0,0,0,380,0,0,0,0,622,140.61004,36.05039
2008,6902,荒野台,0,123,0,0,0,0,0,120,0,99,0,0,0,0,342,0,123,0,0,0,0,0,120,0,58,0,0,0,0,301,140.62535,36.01662
2008,5442,芝山千代田,0,252,0,0,25,0,0,0,0,2430,0,0,0,0,2707,0,148,0,0,0,0,0,0,0,2473,0,0,0,0,2621,140.39895,35.75429
2008,9608,柏たなか,89,336,115,0,0,0,0,134,506,1126,0,0,0,0,2306,89,169,66,0,0,0,0,134,460,1479,0,0,0,0,2397,139.95734,35.91027
2008,9610,みどりの,235,691,102,0,0,89,0,0,260,869,0,0,0,0,2246,342,672,102,0,0,42,0,0,177,895,0,0,0,0,2230,140.05608,36.02935
2008,9613,つくば,4131,2974,200,0,814,456,0,0,3389,5734,0,0,117,39,17854,3828,2432,117,0,935,575,0,129,3019,6511,0,0,117,0,17663,140.10956,36.08197
2008,9609,みらい平,0,635,0,0,49,53,0,150,279,2975,0,0,0,56,4197,0,635,0,0,49,53,0,150,279,3027,0,0,0,0,4193,140.03801,35.9938
2008,9612,研究学園,0,671,0,0,661,0,0,0,720,1403,0,0,0,0,3455,0,685,0,0,590,89,0,0,720,1469,0,0,0,0,3553,140.08155,36.0822
2008,9607,柏の葉キャンパス,1076,1274,46,0,219,64,54,215,2386,4969,0,0,0,0,10303,1097,776,46,0,170,240,54,215,2360,5135,0,0,0,0,10093,139.95238,35.89276
2008,9604,三郷中央,1305,615,98,0,114,0,48,237,1371,3044,0,0,0,45,6877,1315,534,0,0,114,175,48,237,1454,3057,0,0,0,0,6934,139.87804,35.82396
2008,9602,六町,845,291,0,45,0,71,0,55,2694,4394,0,0,0,0,8395,684,183,0,45,0,95,0,55,2510,4053,0,0,0,0,7625,139.82171,35.78394
2008,9603,八潮,1975,515,179,0,207,29,0,493,5115,5159,0,0,0,0,13672,1803,314,223,0,242,190,40,423,4674,5617,0,0,0,0,13526,139.84418,35.80737
2008,9601,青井,84,0,0,0,0,0,0,0,844,4349,0,0,0,0,5277,44,0,0,0,0,0,0,0,652,4937,0,0,0,0,5633,139.82021,35.77119
2008,9605,流山セントラルパーク,43,318,0,0,0,0,0,65,525,1412,0,0,0,0,2363,43,190,0,0,0,0,0,65,530,1462,0,0,0,0,2290,139.91529,35.85519
2008,3903,鶴間,632,249,88,0,0,86,0,47,1396,9681,0,0,0,46,12225,325,222,88,0,0,115,0,47,1396,9511,0,0,0,0,11704,139.45098,35.48991
2008,3901,東林間,0,151,27,0,0,0,0,0,1338,9341,0,0,0,0,10857,0,153,0,0,0,0,0,0,1137,9348,0,0,0,0,10638,139.43948,35.51938
2008,3902,南林間,1309,638,0,0,103,33,0,157,2497,9755,0,0,0,0,14492,1212,106,0,0,103,182,0,157,2451,10308,0,0,0,0,14519,139.44832,35.49499
2008,3907,長後,5890,832,0,0,535,64,0,332,1508,7415,0,0,0,0,16576,5660,987,35,0,509,159,0,332,1470,7322,0,0,0,0,16474,139.46538,35.4128
2008,3913,鵠沼海岸,0,0,32,0,0,0,0,0,1012,7631,0,0,0,0,8675,0,0,32,0,0,0,0,0,1040,7043,0,0,0,0,8115,139.47144,35.3204
2008,3912,本鵠沼,0,68,40,0,0,27,0,41,71,4110,0,0,0,0,4357,0,95,0,0,0,0,0,41,71,3808,0,0,0,0,4015,139.47561,35.33134
2008,3905,桜ヶ丘,140,301,0,29,44,0,0,72,557,8055,0,0,0,0,9198,138,179,0,0,69,0,0,72,547,8410,0,0,0,0,9415,139.4657,35.45
2008,3909,六会日大前,369,252,50,0,79,0,0,53,583,12505,0,0,0,0,13891,265,161,0,0,0,41,0,77,595,12721,0,0,0,0,13860,139.47061,35.38412
2008,3911,藤沢本町,95,88,40,0,0,0,0,0,998,10362,0,0,0,0,11583,106,150,0,0,0,0,0,0,998,10514,0,0,0,0,11768,139.47566,35.34854
2008,3910,善行,1382,359,41,0,267,108,69,278,182,12340,0,0,0,0,15026,1210,378,109,0,567,204,69,278,182,11952,0,0,0,0,14949,139.47324,35.36293
2008,3914,片瀬江ノ島,0,28,0,0,0,0,0,0,209,4256,0,0,0,0,4493,241,60,0,0,0,0,0,0,209,3724,0,0,0,0,4234,139.4835,35.30887
2008,3906,高座渋谷,31,276,118,0,0,0,0,33,1193,6985,0,0,0,0,8636,30,312,118,0,0,31,24,33,1196,7066,0,0,0,0,8810,139.4647,35.43159
2008,3803,代々木八幡,106,0,0,0,0,43,0,0,34,7333,0,0,0,0,7516,56,0,0,0,0,43,0,0,94,7298,0,0,0,0,7491,139.68843,35.66945
2008,3814,喜多見,157,127,0,0,43,58,56,56,2715,11954,0,0,0,0,15166,58,178,0,0,0,0,56,56,2321,12230,0,0,0,0,14899,139.58554,35.63613
2008,3809,豪徳寺,43,0,0,0,0,0,0,0,474,6832,0,0,0,0,7349,80,0,0,0,0,0,0,0,324,7316,0,0,0,0,7720,139.6481,35.65411
2008,3801,南新宿,0,0,0,0,0,0,0,0,0,3394,0,0,0,0,3394,0,0,0,0,0,0,0,0,0,4053,0,0,0,0,4053,139.69817,35.68316
2008,3811,千歳船橋,1382,60,0,0,153,0,0,36,1524,16990,0,0,0,0,20145,970,88,0,0,153,149,0,36,1484,17037,0,0,0,0,19917,139.62533,35.64791
2008,3802,参宮橋,107,0,0,0,0,0,0,0,0,8457,0,0,0,0,8564,146,77,0,0,0,0,0,0,0,8745,0,0,0,0,8968,139.69329,35.67813
2008,3812,祖師ヶ谷大蔵,141,278,0,0,0,0,0,0,2548,20604,0,0,0,72,23643,211,171,0,0,0,100,0,0,2405,21953,0,0,0,0,24840,139.60895,35.64302
2008,3808,梅ヶ丘,227,0,0,0,0,0,0,0,40,11789,0,0,0,0,12056,317,0,0,0,0,0,0,0,40,11646,0,0,0,0,12003,139.65434,35.65624
2008,3807,世田谷代田,75,0,0,0,0,0,0,0,0,4219,0,0,0,0,4294,136,0,0,0,0,0,0,0,0,3580,0,0,0,0,3716,139.66076,35.65814
2008,3805,東北沢,0,0,0,0,0,0,0,0,0,3665,0,0,0,0,3665,0,0,0,0,0,0,0,0,0,3762,0,0,0,0,3762,139.67254,35.66508
2008,3810,経堂,301,214,106,0,0,116,0,0,3873,28726,0,0,0,0,33336,277,41,106,0,0,313,0,0,3551,28438,0,0,0,0,32726,139.63778,35.65151
2008,3813,成城学園前,7138,891,0,52,426,227,0,137,3447,24291,0,0,0,57,36666,6668,319,0,52,302,525,0,137,3371,24252,0,0,61,0,35687,139.59796,35.63981
2008,3815,狛江,3548,221,41,0,73,152,0,171,3605,13173,0,0,0,0,20984,3330,93,52,0,139,256,0,95,3047,13054,0,0,29,0,20095,139.57669,35.63162
2008,3819,読売ランド前,502,151,0,0,98,54,0,35,221,14727,0,0,0,0,15788,558,168,0,0,98,59,0,35,193,13855,0,0,0,0,14966,139.52706,35.61484
2008,3816,和泉多摩川,708,32,0,32,0,0,0,76,906,4775,0,0,0,0,6529,435,38,0,32,0,0,0,76,848,4973,0,0,0,0,6402,139.57331,35.6268
2008,3820,百合ヶ丘,1635,382,0,0,0,0,42,119,183,8324,0,0,0,0,10685,1775,149,0,0,0,0,42,119,213,9309,0,0,0,0,11607,139.51514,35.60866
2008,3822,柿生,3542,291,26,0,336,0,0,225,1786,9704,0,0,0,0,15910,3106,214,26,0,336,208,0,221,1542,9513,0,0,0,0,15166,139.49711,35.58891
